area_util,banheiros,suites,quartos,vagas_garagem,preco_venda,bairro,tipo_imovel,tipo_imovel_recategorized
196,82.0,3.0,1.0,3.0,3.0,448000,Parque Mandaqui,Apartamento,Apartamento
197,43.0,1.0,0.0,1.0,1.0,140000,Pedreira,Apartamento,Apartamento
200,58.0,1.0,0.0,2.0,1.0,244999,Jardim Taquaral,Apartamento,Apartamento
204,93.0,1.0,1.0,3.0,2.0,468999,Vila Vermelha,Apartamento,Apartamento
206,66.0,2.0,1.0,3.0,1.0,233099,Parque Reboucas,Apartamento,Apartamento
207,106.0,2.0,0.0,2.0,1.0,300300,Móoca,Apartamento,Apartamento
209,97.0,1.0,0.0,3.0,2.0,144550,Vila Nova Curuca,Casa,Casa
213,50.0,1.0,0.0,2.0,1.0,154000,Vila Carmosina,Apartamento,Apartamento
216,89.0,2.0,1.0,3.0,2.0,244299,Vila Andrade,Apartamento,Apartamento
222,84.0,2.0,0.0,2.0,2.0,227500,Vila Nova Parada,Condomínio,Outro
226,252.0,5.0,4.0,4.0,4.0,1673000,Vila Dom Pedro I,Cobertura,Apartamento
227,63.0,2.0,1.0,2.0,1.0,393400,Vila Dom Pedro I,Apartamento,Apartamento
228,54.0,1.0,0.0,2.0,1.0,147000,Parque Munhoz,Apartamento,Apartamento
230,67.0,2.0,1.0,1.0,1.0,836500,Planalto Paulista,Apartamento,Apartamento
231,33.0,1.0,1.0,1.0,1.0,258999,Itaim Bibi,Flat,Apartamento
232,52.0,1.0,0.0,2.0,1.0,217000,Vila Esperança,Apartamento,Apartamento
239,56.0,2.0,0.0,2.0,1.0,287000,Saúde,Apartamento,Apartamento
242,69.0,3.0,1.0,2.0,2.0,721000,Moema,Apartamento,Apartamento
246,35.0,1.0,1.0,1.0,1.0,210000,Consolação,Flat,Apartamento
247,55.0,2.0,1.0,2.0,1.0,336000,Lapa,Apartamento,Apartamento
248,88.0,2.0,0.0,2.0,2.0,742000,Barra Funda,Apartamento,Apartamento
249,55.0,2.0,0.0,2.0,1.0,203000,Vila Constancia,Apartamento,Apartamento
250,92.0,3.0,1.0,3.0,1.0,629300,Moema,Apartamento,Apartamento
253,109.0,2.0,1.0,3.0,2.0,336000,Morumbi,Apartamento,Apartamento
257,54.0,1.0,0.0,2.0,1.0,130899,Chácara Santa Maria,Apartamento,Apartamento
260,72.0,2.0,1.0,3.0,2.0,350000,Vila Andrade,Apartamento,Apartamento
262,40.0,1.0,0.0,1.0,1.0,468999,Indianópolis,Apartamento,Apartamento
264,110.0,3.0,1.0,3.0,1.0,833000,Pinheiros,Apartamento,Apartamento
267,30.0,1.0,1.0,1.0,1.0,189000,Consolação,Flat,Apartamento
269,29.0,1.0,1.0,1.0,1.0,168000,Campo Belo,Flat,Apartamento
270,29.0,1.0,1.0,1.0,1.0,371000,Itaim Bibi,Flat,Apartamento
273,45.0,2.0,0.0,1.0,1.0,189000,Fazenda Morumbi,Apartamento,Apartamento
275,35.0,1.0,1.0,1.0,1.0,350000,Jardins,Flat,Apartamento
277,45.0,1.0,0.0,1.0,1.0,335300,Moema,Apartamento,Apartamento
278,108.0,3.0,1.0,2.0,2.0,510999,Vila Mascote,Apartamento,Apartamento
281,43.0,1.0,0.0,1.0,1.0,240099,Paraíso,Comercial,Outro
285,59.0,2.0,1.0,2.0,2.0,348522,Ipiranga,Apartamento,Apartamento
287,58.0,2.0,1.0,2.0,1.0,262500,Vila Guilherme,Apartamento,Apartamento
291,62.0,1.0,0.0,2.0,1.0,224000,Campo Grande,Apartamento,Apartamento
292,125.0,3.0,0.0,3.0,1.0,595000,Cerqueira César,Apartamento,Apartamento
293,43.0,1.0,0.0,2.0,1.0,182000,Jaraguá,Apartamento,Apartamento
297,60.0,1.0,0.0,2.0,1.0,294000,Mooca,Apartamento,Apartamento
298,66.0,1.0,1.0,2.0,1.0,343000,Parque São Jorge,Apartamento,Apartamento
299,96.0,3.0,1.0,3.0,2.0,819000,Moema,Apartamento,Apartamento
305,67.0,1.0,0.0,3.0,1.0,455000,Campo Belo,Apartamento,Apartamento
306,47.0,2.0,1.0,2.0,1.0,437500,Perdizes,Apartamento,Apartamento
307,70.0,2.0,0.0,2.0,1.0,230999,Vila Beatriz,Apartamento,Apartamento
308,170.0,2.0,0.0,3.0,2.0,210000,Vila Minerva,Casa,Casa
311,44.0,1.0,1.0,1.0,1.0,253355,Centro,Apartamento,Apartamento
313,23.0,1.0,1.0,1.0,1.0,164500,Jardins,Flat,Apartamento
314,50.0,1.0,1.0,1.0,1.0,189000,Santana,Flat,Apartamento
324,69.0,2.0,1.0,2.0,1.0,754600,Vila Clementino,Apartamento,Apartamento
327,65.0,2.0,0.0,2.0,1.0,251999,Parque Munhoz,Condomínio,Outro
329,50.0,1.0,0.0,2.0,1.0,230999,Jardim Celeste,Apartamento,Apartamento
331,145.0,2.0,1.0,2.0,2.0,696500,Vila Andrade,Apartamento,Apartamento
335,75.0,2.0,1.0,3.0,1.0,367500,Saúde,Apartamento,Apartamento
336,64.0,1.0,0.0,3.0,1.0,218400,Vila Formosa,Apartamento,Apartamento
342,29.0,1.0,1.0,1.0,1.0,220500,Itaim Bibi,Flat,Apartamento
343,248.0,3.0,1.0,3.0,2.0,623000,Cambuci,Casa,Casa
344,70.0,1.0,0.0,2.0,2.0,258999,Jardim Alvorada (Zona Oeste),Casa,Casa
348,80.0,2.0,1.0,3.0,2.0,377299,Jurubatuba,Apartamento,Apartamento
351,54.0,1.0,0.0,2.0,1.0,196000,Vila Paulo Silas,Apartamento,Apartamento
354,69.0,2.0,1.0,3.0,1.0,270300,Vila Graciosa,Apartamento,Apartamento
355,152.0,1.0,1.0,3.0,4.0,461999,Jardim Sabara,Casa,Casa
356,220.0,1.0,0.0,2.0,4.0,489999,Vila Santana,Casa,Casa
358,36.0,1.0,1.0,1.0,1.0,227500,Jardim Paulista,Flat,Apartamento
361,72.0,2.0,1.0,3.0,1.0,455000,Parada Inglesa,Apartamento,Apartamento
363,59.0,2.0,1.0,2.0,1.0,308000,Vila Dom Pedro I,Apartamento,Apartamento
365,59.0,2.0,1.0,2.0,1.0,406000,Aclimação,Apartamento,Apartamento
367,147.0,3.0,1.0,3.0,2.0,819000,Vila Clementino,Apartamento,Apartamento
370,30.0,1.0,1.0,1.0,1.0,224000,Moema,Flat,Apartamento
374,1.0,1.0,1.0,2.0,1.0,595000,Jardim das Bandeiras,Apartamento,Apartamento
375,100.0,2.0,1.0,3.0,2.0,874300,Alto da Lapa,Apartamento,Apartamento
376,156.0,3.0,1.0,3.0,2.0,805000,Campo Belo,Apartamento,Apartamento
382,55.0,1.0,0.0,2.0,1.0,216300,Vila Campestre,Apartamento,Apartamento
384,70.0,2.0,1.0,1.0,1.0,560000,Campo Belo,Apartamento,Apartamento
386,180.0,3.0,1.0,3.0,3.0,521499,Vila Prado,Casa de dois andares,Casa
391,52.0,1.0,0.0,2.0,1.0,286300,Vila Mascote,Apartamento,Apartamento
392,53.0,1.0,0.0,2.0,1.0,230999,Jaraguá,Apartamento,Apartamento
396,60.0,2.0,1.0,2.0,1.0,266000,Parque Novo Mundo,Apartamento,Apartamento
401,53.0,1.0,0.0,1.0,1.0,171650,Paraisópolis,Apartamento,Apartamento
404,76.0,3.0,1.0,3.0,4.0,482999,Jardim Bonfiglioli,Casa de dois andares,Casa
408,52.0,1.0,0.0,2.0,1.0,150500,Jardim Umarizal,Apartamento,Apartamento
410,60.0,1.0,0.0,2.0,2.0,147000,Jd Umuarama,Apartamento,Apartamento
411,51.0,1.0,0.0,2.0,1.0,262500,Morumbi,Apartamento,Apartamento
412,52.0,1.0,0.0,2.0,1.0,230999,Jardim Ester Yolanda,Apartamento,Apartamento
417,65.0,1.0,0.0,3.0,1.0,125999,Conjunto Residencial José Bonifácio,Apartamento,Apartamento
419,36.0,1.0,0.0,1.0,1.0,237299,Santana,Flat,Apartamento
425,221.0,5.0,2.0,3.0,3.0,1049999,Vila São Francisco,Cobertura,Apartamento
426,100.0,3.0,1.0,3.0,2.0,475999,Vila Isa,Apartamento,Apartamento
427,142.0,4.0,1.0,3.0,2.0,525000,Vila São Pedro,Casa,Casa
428,60.0,1.0,1.0,3.0,1.0,224000,Parque Tomas Saraiva,Apartamento,Apartamento
429,127.0,3.0,1.0,3.0,1.0,766500,Moema,Apartamento,Apartamento
432,107.0,2.0,1.0,3.0,2.0,698740,Barra Funda,Apartamento,Apartamento
436,42.0,2.0,1.0,1.0,1.0,258999,Chac. São Antônio,Apartamento,Apartamento
437,51.0,1.0,0.0,2.0,1.0,220500,Jardim Santa Efigênia,Apartamento,Apartamento
438,150.0,4.0,1.0,3.0,2.0,525000,Parque Vitória,Casa,Casa
442,64.0,2.0,1.0,2.0,1.0,336000,Saúde,Apartamento,Apartamento
443,60.0,1.0,0.0,2.0,1.0,220500,Jardim Leonor,Apartamento,Apartamento
446,114.0,2.0,0.0,2.0,1.0,301000,Vila Antônio,Condomínio,Outro
447,67.0,2.0,1.0,3.0,2.0,346500,Jaguare,Apartamento,Apartamento
454,90.0,2.0,1.0,2.0,1.0,385000,Vila Ester (Zona Norte),Apartamento,Apartamento
456,65.0,2.0,0.0,2.0,1.0,343000,Vila Romana,Apartamento,Apartamento
461,106.0,1.0,2.0,2.0,2.0,216219,Vila Nova Galvão,Casa,Casa
466,58.0,2.0,1.0,2.0,1.0,320600,Lauzane Paulista,Apartamento,Apartamento
467,57.0,1.0,0.0,2.0,1.0,280000,Tucuruvi,Apartamento,Apartamento
481,170.0,1.0,1.0,3.0,2.0,420000,Chácara Belenzinho,Casa de dois andares,Casa
482,40.0,1.0,0.0,1.0,1.0,279300,Tatuapé,Apartamento,Apartamento
489,84.0,2.0,1.0,2.0,2.0,606900,Vila Cruzeiro,Apartamento,Apartamento
496,120.0,3.0,1.0,4.0,3.0,392000,Jardim Londrina,Apartamento,Apartamento
497,103.0,1.0,0.0,2.0,1.0,630000,Itaim Bibi,Apartamento,Apartamento
498,89.0,1.0,0.0,2.0,1.0,280000,Vila Prel,Apartamento,Apartamento
499,40.0,1.0,1.0,1.0,1.0,195300,Jardim Ampliação,Apartamento,Apartamento
503,62.0,2.0,1.0,2.0,1.0,321300,Vila Nair,Apartamento,Apartamento
504,74.0,2.0,1.0,3.0,2.0,472499,Saúde,Apartamento,Apartamento
506,106.0,3.0,2.0,2.0,2.0,468999,Vila Andrade,Apartamento,Apartamento
507,53.0,1.0,0.0,2.0,1.0,182000,Vila Ema,Apartamento,Apartamento
510,82.0,1.0,1.0,3.0,1.0,482999,Cidade Monções,Apartamento,Apartamento
511,53.0,1.0,0.0,2.0,1.0,148400,Jardim Casablanca,Apartamento,Apartamento
514,97.0,3.0,1.0,3.0,3.0,581000,Mirandópolis,Apartamento,Apartamento
516,62.0,2.0,1.0,2.0,1.0,315000,Jardim Umuarama,Apartamento,Apartamento
518,60.0,1.0,0.0,2.0,1.0,178500,Jardim Dom José,Condomínio,Outro
519,112.0,3.0,1.0,3.0,2.0,840000,Indianópolis,Apartamento,Apartamento
520,66.0,1.0,0.0,3.0,1.0,215600,Campo Limpo,Apartamento,Apartamento
521,50.0,1.0,0.0,2.0,1.0,188300,Vila Ema,Apartamento,Apartamento
530,78.0,3.0,2.0,2.0,2.0,315000,Vila Andrade,Apartamento,Apartamento
537,62.0,1.0,0.0,2.0,1.0,210000,Vila Lageado,Apartamento,Apartamento
538,58.0,1.0,0.0,2.0,1.0,237999,Parque da Mooca,Apartamento,Apartamento
541,157.0,2.0,1.0,3.0,2.0,447300,Jaguare,Apartamento,Apartamento
542,72.0,2.0,1.0,3.0,2.0,364000,Vila Sofia,Apartamento,Apartamento
544,115.0,3.0,1.0,3.0,3.0,560000,Parque Continental,Casa,Casa
546,65.0,2.0,1.0,3.0,1.0,265300,Belenzinho,Apartamento,Apartamento
549,95.0,3.0,2.0,2.0,2.0,539000,Rio Pequeno,Apartamento,Apartamento
551,138.0,2.0,1.0,3.0,3.0,461999,Chácara Mafalda,Casa,Casa
553,55.0,1.0,0.0,2.0,1.0,163100,Jardim Sônia Regina,Apartamento,Apartamento
554,240.0,1.0,1.0,3.0,1.0,1610000,Santa Cecília,Cobertura,Apartamento
555,200.0,5.0,1.0,3.0,2.0,700000,Jardim do Colegio,Casa,Casa
556,86.0,2.0,1.0,2.0,1.0,367500,Parque Mandaqui,Apartamento,Apartamento
558,70.0,3.0,2.0,2.0,1.0,336000,Lauzane Paulista,Condomínio,Outro
559,75.0,2.0,0.0,3.0,1.0,273000,Jardim Londrina,Apartamento,Apartamento
562,63.0,1.0,0.0,3.0,1.0,278600,Lauzane Paulista,Apartamento,Apartamento
563,75.0,2.0,1.0,3.0,2.0,392000,Tatuapé,Apartamento,Apartamento
566,120.0,2.0,1.0,3.0,2.0,475999,Jardim Peri,Casa,Casa
568,65.0,1.0,0.0,3.0,2.0,258999,Vila Sao Paulo,Apartamento,Apartamento
570,47.0,1.0,0.0,1.0,1.0,371000,Campo Belo,Apartamento,Apartamento
572,125.0,3.0,1.0,3.0,2.0,742000,Lauzane Paulista,Apartamento,Apartamento
574,52.0,1.0,0.0,2.0,1.0,192500,Jardim Três Marias,Apartamento,Apartamento
576,65.0,1.0,0.0,3.0,1.0,196683,Vila Socorro,Apartamento,Apartamento
578,64.0,2.0,1.0,3.0,2.0,371000,Casa Verde,Apartamento,Apartamento
579,95.0,3.0,1.0,3.0,2.0,446600,Chora Menino,Casa,Casa
582,250.0,1.0,0.0,1.0,2.0,116339,Parque Residencial Cocaia,Casa,Casa
586,67.0,1.0,1.0,2.0,1.0,543340,Parque São Jorge,Apartamento,Apartamento
588,92.0,2.0,1.0,2.0,2.0,517999,Lauzane Paulista,Apartamento,Apartamento
590,53.0,1.0,0.0,3.0,1.0,224000,Jardim Esmeralda,Apartamento,Apartamento
593,150.0,1.0,0.0,1.0,2.0,103320,Parque Residencial Cocaia,Casa,Casa
595,110.0,2.0,0.0,3.0,2.0,308000,Vila Constança,Casa,Casa
606,41.0,1.0,0.0,2.0,1.0,143500,Vila Taquari,Apartamento,Apartamento
610,9.0,1.0,0.0,2.0,1.0,385000,Jardim Peri,Casa,Casa
616,64.0,2.0,1.0,2.0,1.0,315000,Vila São Paulo,Apartamento,Apartamento
618,64.0,1.0,0.0,3.0,1.0,259699,Vila Formosa,Apartamento,Apartamento
621,80.0,2.0,1.0,3.0,2.0,371000,Parque Mandaqui,Apartamento,Apartamento
622,49.0,1.0,0.0,1.0,1.0,136500,Lauzane Paulista,Apartamento,Apartamento
625,92.0,2.0,1.0,4.0,2.0,525000,Jardim Marajoara,Apartamento,Apartamento
626,30.0,1.0,0.0,1.0,1.0,230999,Jardim Paulista,Flat,Apartamento
630,129.0,3.0,1.0,4.0,1.0,441000,Vila Sofia,Apartamento,Apartamento
644,105.0,2.0,0.0,3.0,1.0,486499,Aclimação,Apartamento,Apartamento
652,57.0,2.0,0.0,2.0,1.0,448000,Vila Inglesa,Apartamento,Apartamento
654,178.0,3.0,1.0,3.0,3.0,1225000,Santo Amaro,Cobertura,Apartamento
655,75.0,2.0,1.0,2.0,1.0,315000,Santo Amaro,Apartamento,Apartamento
657,105.0,3.0,1.0,3.0,2.0,411880,Vila Sofia,Apartamento,Apartamento
658,107.0,3.0,1.0,3.0,2.0,593460,Campo Belo,Apartamento,Apartamento
660,45.0,1.0,0.0,1.0,1.0,386400,Santo Amaro,Apartamento,Apartamento
663,60.0,1.0,0.0,2.0,1.0,241499,Vila Santa Catarina,Apartamento,Apartamento
667,28.0,1.0,0.0,1.0,1.0,118999,Vila Almeida,Flat,Apartamento
670,38.0,1.0,1.0,1.0,1.0,237999,Cerqueira César,Flat,Apartamento
672,74.0,1.0,1.0,2.0,2.0,693000,Cerqueira César,Apartamento,Apartamento
674,71.0,1.0,2.0,2.0,2.0,183883,Parque Savoy City,Casa,Casa
684,73.0,3.0,2.0,2.0,2.0,630000,Vila Cordeiro,Apartamento,Apartamento
692,76.0,3.0,1.0,3.0,2.0,388500,Vila Mazzei,Casa,Casa
694,82.0,1.0,1.0,3.0,2.0,596400,Vila Pompéia,Apartamento,Apartamento
698,40.0,1.0,0.0,2.0,1.0,99931,Jardim Itapura,Apartamento,Apartamento
700,44.0,1.0,0.0,1.0,1.0,273000,Alto da Lapa,Apartamento,Apartamento
704,65.0,1.0,0.0,2.0,1.0,315000,Jardim Itapeva,Apartamento,Apartamento
707,64.0,2.0,1.0,2.0,1.0,308000,Vila Carrão,Apartamento,Apartamento
709,45.0,1.0,1.0,1.0,1.0,304500,Moema,Flat,Apartamento
710,28.0,1.0,0.0,1.0,1.0,171500,Indianópolis,Flat,Apartamento
711,45.0,1.0,0.0,1.0,1.0,248499,Vila Mariana,Flat,Apartamento
712,32.0,1.0,0.0,1.0,1.0,287000,Pinheiros,Flat,Apartamento
715,230.0,1.0,0.0,2.0,1.0,266000,Vila Constancia,Casa,Casa
716,157.0,3.0,1.0,4.0,3.0,805000,Vila Sofia,Apartamento,Apartamento
717,48.0,1.0,0.0,2.0,1.0,185500,Jardim Maraba,Apartamento,Apartamento
720,42.0,1.0,1.0,1.0,1.0,357000,Chacara Itaim,Flat,Apartamento
723,150.0,3.0,1.0,3.0,2.0,385000,Vila Ema,Casa,Casa
725,54.0,1.0,0.0,2.0,1.0,230999,Vila Prel,Apartamento,Apartamento
729,120.0,1.0,2.0,2.0,3.0,630000,Jardim Maraba,Casa,Casa
732,57.0,2.0,1.0,2.0,1.0,392000,Bela Vista,Apartamento,Apartamento
736,52.0,1.0,0.0,2.0,1.0,168000,Vila Andrade,Apartamento,Apartamento
